id,created_at,text,fav_count,retweet_count
1052268062630600704,2018-10-16 18:40:30,"b'RT @FaktyTVP3: .@GoTracz z @ZieloniWro: #Wroc\xc5\x82aw mo\xc5\xbce by\xc4\x87 Zielon\xc4\x85 Stolic\xc4\x85 Europy, ale...\n\n@Zieloni @pawelpomian \n\n\xe2\x9c\x85 #WYBIERAMSAM https://t.\xe2\x80\xa6'",0,5
1052265622539788288,2018-10-16 18:30:49,"b'RT @m_kokoszkiewicz: Zach\xc4\x99cam do zapoznania si\xc4\x99 z prezydenckim latarnikiem wyborczym, kt\xc3\xb3ry przygotowa\xc5\x82em dla @wyborczawroclaw\nOdpowiedziel\xe2\x80\xa6'",0,3
1052263971179225088,2018-10-16 18:24:15,"b'RT @NataliaSawka: \xc5\x9arednia wieku kandydat\xc3\xb3w na prezydenta @K_Obywatelska - 47 lat, @pisorgpl - 46 lat, @nowePSL - 40 lat, @sldpoland - 52 la\xe2\x80\xa6'",0,5
1052248171043123200,2018-10-16 17:21:28,b'RT @m_kokoszkiewicz: @GoTracz chwali si\xc4\x99 wynikiem Zielonych z Bawarii. Jarz\xc4\x85bek: po\xc5\xbca\xc5\x82uj\xc4\x85! Tracz: nie po\xc5\xbca\xc5\x82uj\xc4\x85!',0,3
1052248157655060480,2018-10-16 17:21:25,"b'RT @m_kokoszkiewicz: #debataWroclaw @GoTracz: w poniedzia\xc5\x82ek zacznie si\xc4\x99 nowy rozdzia\xc5\x82 w historii Wroc\xc5\x82awia, chc\xc4\x99 by w RM zasiad\xc5\x82y osoby wi\xe2\x80\xa6'",0,4
1052246101393371137,2018-10-16 17:13:15,"b'RT @m_kokoszkiewicz: #debataWroclaw @GoTracz osobi\xc5\x9bcie lubi\xc4\x99 deptaki, kt\xc3\xb3e pe\xc5\x82ni\xc4\x85 funkcj\xc4\x99 handlow\xc4\x85 i us\xc5\x82ugowych: kawiarnie restauracje, bar\xe2\x80\xa6'",0,4
1052246041356107779,2018-10-16 17:13:00,"b'RT @m_kokoszkiewicz: @SzymonSikorski @GoTracz Nikogo nie atakuje, jako jedyna! M\xc3\xb3wi\xc4\x85c o Wroclavii nie wspomnia\xc5\x82a ani o @MichalakJerzy ani @\xe2\x80\xa6'",0,3
1052246019226984448,2018-10-16 17:12:55,"b'RT @m_kokoszkiewicz: #debataWroclaw @GoTracz druga zmiana powoduje problemy dla rodzic\xc3\xb3w, zw\xc5\x82aszcza gdy nie ma \xc5\x9bwietlicy'",0,3
1052245181892845568,2018-10-16 17:09:35,"b'RT @pawelpomian: Wprowadzimy rzeczywisty priorytet dla komunikacji miejskiej. Doko\xc5\x84czymy budow\xc4\x99 tramwaju na Nowy Dw\xc3\xb3r, a tak\xc5\xbce rozpoczniemy\xe2\x80\xa6'",0,3
1052245117699072000,2018-10-16 17:09:20,"b'RT @ZieloniWro: Nowe stacje kolejowe, zmiana priorytet\xc3\xb3w w ruchu, nowe linie tramwajowe oraz wi\xc4\x99kszy bud\xc5\xbcet na utrzymanie torowisk. Partia\xe2\x80\xa6'",0,4
1052245061927202818,2018-10-16 17:09:07,"b'RT @m_kokoszkiewicz: #debataWroclaw @GoTracz: We Wroc\xc5\x82awiu trzeba rozbudowy linii tralmwajowych, w jednej kadencji nie da si\xc4\x99 poprowadzi\xc4\x87 7\xe2\x80\xa6'",0,6
1052244985414909952,2018-10-16 17:08:48,"b'RT @m_kokoszkiewicz: #debataWroclaw; @GoTracz wida\xc4\x87, \xc5\xbce czuje si\xc4\x99 jak ryba w wodzie w temacie smogu :) krytykuje Kawk\xc4\x99, bo cz\xc4\x99\xc5\x9b\xc4\x87 os\xc3\xb3b pod\xc5\x82\xc4\x85\xe2\x80\xa6'",0,4
1052244968599932928,2018-10-16 17:08:44,"b'RT @m_kokoszkiewicz: #debataWroclaw @GoTracz chce by osoby w wielu 16-25 mia\xc5\x82y osobny bud\xc5\xbcet obywatelski, by anga\xc5\xbcowa\xc4\x87 m\xc5\x82odych'",0,5
1052244957669588992,2018-10-16 17:08:42,"b'RT @m_kokoszkiewicz: #debataWroclaw @GoTracz jeszcze w roku 2015 by\xc5\x82 marsz promowany plakatami faszystowskimi, by\xc5\x82a podstawa dla zakazu. Je\xe2\x80\xa6'",0,5
1052244928464646144,2018-10-16 17:08:35,"b'RT @m_kokoszkiewicz: #debataWroclaw @GoTracz: ju\xc5\xbc raz mieli\xc5\x9bmy g\xc5\x82osowanie za in vitro. Potrzebujemy nowej rady, bo obecni radni uciekali z\xe2\x80\xa6'",0,6
1052244850148630529,2018-10-16 17:08:16,b'RT @m_kokoszkiewicz: #debataWroclaw @GoTracz zaczyna kwesti\xc4\x99 kork\xc3\xb3w od budowy dr\xc3\xb3g... nie rozumiem dlaczego :)',0,4
1052244816082264064,2018-10-16 17:08:08,"b'RT @m_kokoszkiewicz: #debataWroclaw @GoTracz: priorytet dla komunikacji miejskiej, ustawienie \xc5\x9bwiate\xc5\x82 by transport publiczny by\xc5\x82 szybszy (m\xe2\x80\xa6'",0,5
