index,id,created_at,text,fav_count,retweet_count
0,1052462551093661696,2018-10-17 07:33:20,"RT @MarcinPalade: Im dłużej analizuję wyniki sondaży Millward Brown dla @gazeta_wyborcza, z szacowaną frekwencją wziętą z sufitu, tym mocni…",0,54
1,1052414282409922560,2018-10-17 04:21:32,"RT @Polityka_wSieci: #debataWrocław organizowane przez @wyborczawroclaw zasięg w sieci 314K / 579 wzmianek 

Największe zainteresowanie w s…",0,17
2,1052264826498625536,2018-10-16 18:27:39,RT @RowerowyWRO: Kolejny podpis pod deklaracją Rowerowego Wrocławia złożyła @KatarzynaObara. Kandydatka na prezydenta dopisała do niej doda…,0,4
3,1052258074151591936,2018-10-16 18:00:49,RT @DemagogPL: Prawda ✔️ wrocławskiej kandydatki  @KatarzynaObara w wypowiedzi dot. sposobu finansowania sportu na łamach @gazeta_wyborcza.…,0,3
4,1052101044120014848,2018-10-16 07:36:50,RT @Inicjatywa2030: @KosteckiPawel @DariuszMacarz @BezpartyjnyWroc Dziś ostatni dzień dopisywania się do rejestru wyborców. Nie trzeba się…,0,3
5,1051916687451312129,2018-10-15 19:24:16,"RT @tumwro: Wspólną z @AkcjaMiasto ""Deklarację #12prac dla Wrocławia"" podpisało już 5 kandydatów na Prezydenta: @martalempart, @MichalakJer…",0,2
6,1051852238027657216,2018-10-15 15:08:10,❤️ https://t.co/s9E5jLkHbA,11,4
7,1051825737420955648,2018-10-15 13:22:52,"RT @BezpartyjnyWroc: Miasto wg obecnej władzy: korupcja polityczna, deal'e z deweloperami, dziurawe drogi i tragiczne warunki w... https://…",0,2
8,1051774131438530560,2018-10-15 09:57:48,"RT @DariuszMacarz: Niby niewinna wizyta na Kwiskiej, a tu mój plakat na tym samym przystanku po poranku w takim stanie 🙂 Przypadek?😂😂 #ToTy…",0,2
9,1051099218839003136,2018-10-13 13:15:56,Niby archiwum a wciąż niestety aktualne ... https://t.co/L0nd3qd0xs,6,1
10,1050744058874929156,2018-10-12 13:44:40,#NoweProfilowe https://t.co/8R1zD8yTfC,7,1
11,1050637220456017920,2018-10-12 06:40:07,"RT @BezpartyjnyWroc: Spotkanie wyborców z @KatarzynaObara w @zajezdnia. Cała transmisja dostępna pod linkiem ⤵️
https://t.co/iEjdXC8I0s htt…",0,5
12,1050470578237427712,2018-10-11 19:37:57,"RT @DariuszMacarz: Trwa otwarte spotkanie w @zajezdnia z @KatarzynaObara , wracamy do tematu zrównoważonego rozwoju wszystkich osiedli Wroc…",0,2
13,1050102779732287490,2018-10-10 19:16:27,RT @DariuszMacarz: Długie popołudnie na Gądowie kończymy spotkaniem z mieszkańcami razem z @KatarzynaObara. Dźwięczy w uszach pytanie o tra…,0,4
14,1050049627653894145,2018-10-10 15:45:14,"RT @Inicjatywa2030: #Gądów, za godzinę widzimy się na spotkaniu z @KatarzynaObara i @DariuszMacarz , w temacie pomysły @BezpartyjnyWroc na…",0,5
15,1049989172738568192,2018-10-10 11:45:01,RT @alarm_smogowyDS: Prawie wszyscy kandydaci/tki na Prezydenta Wrocławia uznali smog za jeden z najważniejszych problemów @martalempart @M…,0,12
