id,created_at,text,fav_count,retweet_count
737676315722153984,2016-05-31 16:05:13,"b'@garcarzmarcin @BiuroPrasoweUMW \xc5\xbcyczeniowe my\xc5\x9blenie to za ma\xc5\x82o, polecam nauk\xc4\x99 czytania ze zrozumieniem @okwroclaw2018'",0,0
736235256575983617,2016-05-27 16:38:58,b'Taka wizyt\xc3\xb3wka wpad\xc5\x82a mi w r\xc4\x99ce. Ilu i jakich doradc\xc3\xb3w ma prezydent Wroc\xc5\x82awia? @okwroclaw2018 #wroc\xc5\x82aw https://t.co/5Ty2kZ90IM',7,6
735847679163535361,2016-05-26 14:58:52,b'#Wroc\xc5\x82aw #sor #usk #takasytuacja https://t.co/MEoWDnj4Q9',4,0
735504741208330241,2016-05-25 16:16:09,b'@okwroclaw2018 do\xc5\x82\xc4\x85czycie do nas ?  https://t.co/R68ftTQGrP',5,1
735493789511483392,2016-05-25 15:32:38,"b'Kopia to nie orygina\xc5\x82 !@wroclaw2018 to nie @okwroclaw2018, za p\xc3\xb3\xc5\xbano si\xc4\x99 obudzili\xc5\x9bcie, Panie i Panowie.  https://t.co/pIxcdAxsZo'",7,2
735378245579857920,2016-05-25 07:53:31,b'https://t.co/ac4AfJVRfX. #Wroc\xc5\x82aw tak ch\xc4\x99tnie oddaje maj\xc4\x85tek parafiom i ko\xc5\x9bcio\xc5\x82om...',4,3
735199506149605376,2016-05-24 20:03:16,"b'@panlistonosz, w odr\xc3\xb3\xc5\xbcnieniu od Pana idola nie zmieniam pogl\xc4\x85d\xc3\xb3w i nie wypieram przekona\xc5\x84, wi\xc4\x99c chybiony strza\xc5\x82; zdrajca nie tu @MGadawa'",0,0
735173641185464321,2016-05-24 18:20:29,"b'@panlistonosz, brzmi Pan znajomo - jak 1 pi\xc4\x99tro w Sukiennicach? ""renegat"" - polecam sprawdzi\xc4\x87 znaczenie w s\xc5\x82owniku PWN @MGadawa ?'",0,0
735172747089825792,2016-05-24 18:16:56,"b'@panlistonosz, du\xc5\xbco wi\xc4\x99ksz\xc4\x85 promocj\xc4\x85 jest Pa\xc5\x84ski wpis, ka\xc5\xbcdy ma inne skojarzenie z OK, a Pa\xc5\x84skie prowadzi do moich inicja\xc5\x82\xc3\xb3w :-) @MGadawa'",0,0
735088092265238528,2016-05-24 12:40:33,b'RT @MGadawa: @okwroclaw2018 @gorskinowy @KatarzynaObara: Czas odsun\xc4\x85\xc4\x87 @dutkiewiczrafal od w\xc5\x82adzy https://t.co/a0kMvp2P7b',0,5
734854691654270977,2016-05-23 21:13:06,"b'""Lubi\xc4\x99 - nie lubi\xc4\x99"" to nie nowe kryterium konkursowe we Wroc\xc5\x82awiu @okwroclaw2018 #nowejutromiasta #wartowalczyc  https://t.co/VNeTmVhNBs'",3,0
734847046813908992,2016-05-23 20:42:43,b'#follow #Wroc\xc5\x82aw @okwroclaw2018 #kropladrazyskale #wartowalczyc #nowejutromiasta  https://t.co/0BRdTxyz1m',3,1
734837735014424576,2016-05-23 20:05:43,b'Smutne standardy we Wroc\xc5\x82awiu to nawet 10 miesi\xc4\x99cy! Gdzie KPA ?!?  .  @tfurca @okwroclaw2018',1,0
734828649187282946,2016-05-23 19:29:37,"b'Rada Miejska to organ stanowi\xc4\x85cy i kontrolny Gminy - teoria, teoria. A praktyka ? Jak wida\xc4\x87... @okwroclaw2018  https://t.co/rRkDvoPwX3'",1,2
734827722963357700,2016-05-23 19:25:56,b'Jutro szczeg\xc3\xb3\xc5\x82y @okwroclaw2018  https://t.co/T6fXQgXJ8I',0,0
640147469775454208,2015-09-05 13:00:24,"b'Narodowe Forum Muzyki we Wroc\xc5\x82awiu otwarte z rozmachem! Jutro inauguracja Festiwalu Wratislavia Cantans, dzieje si\xc4\x99! http://t.co/eiP6BTJWkF'",2,0
639337027629154304,2015-09-03 07:20:00,b'Afera z budynkiem farmacji. http://t.co/pW7toPwNfS',0,0
581485110320586752,2015-03-27 15:57:08,"b'@garcarzmarcin argument o redukcji bezrobocia i mitycznym zatrudnieniu to demagogia w czystej postaci, zw\xc5\x82aszcza we Wroc\xc5\x82awiu,gdzie jest 4%.'",7,2
581386101555892224,2015-03-27 09:23:42,"b'@garcarzmarcin: Rz\xc4\x85d tworzy stref\xc4\x99 tylko tam, gdzie chce i zgod\xc4\x99 wyrazi miasto;  nie wypaczaj sensu rozmowy z  @JHarlukowicz'",2,0
492716738979840000,2014-07-25 17:03:19,"b'""Bezpa\xc5\x84skie psy"" teraz ... 14#FNH#Wroc\xc5\x82aw'",1,0
