index,id,created_at,text,fav_count,retweet_count
0,1052478367059116033,2018-10-17 08:36:11,"Zapraszam do mojego pomysłu na wspólne miasto Wrocław!
#rozecka2018 #wyborysamorzadowe2018 #DotrzymujemySłowa https://t.co/2pccXtMZL5",38,18
1,1052123338397630464,2018-10-16 09:05:26,Uczyńmy Wrocław miastem wrażliwym 💗 na problemy mieszkańców! Przedstawiam mój program polityki społecznej. https://t.co/ZyTQHuCGqR,43,22
2,1052077382327263232,2018-10-16 06:02:49,"RT @PL1918: Dziś 40 rocznica wyboru Papieża Jana Pawła II. 
Na zdjęciu z pierwszej wizyty Ojca Świętego Jana Pawła II w Polsce, 2-10 VI 197…",0,26
3,1051795084608491520,2018-10-15 11:21:04,"RT @wirtualnapolska: Już dziś w programie ""Wyborczy Grill"" gościć będziemy @RozeckaPL. Macie pytania do kandydatki na prezydenta Wrocławia?…",0,10
4,1051411440555487233,2018-10-14 09:56:36,"Bezpieczeństwo wrocławian jest najważniejsze - a to moje propozycje w tym obszarze!
#rozecka2018 #wyborysamorzadowe2018 https://t.co/0AACnjMgJZ",102,45
5,1051005237031505920,2018-10-13 07:02:29,RT @MF_GOV_PL: Agencja @SPGlobalRatings ogłosiła decyzję o podwyższeniu ratingu Polski do poziomu A-. Więcej: https://t.co/pskZRzh1iv https…,0,120
6,1050835807483940870,2018-10-12 19:49:14,"Szermierka uczy wytrwałości i dyscypliny, a także strategicznego myślenia. Bez tego nie da się odnieść sukcesu, a walka już niedługo – pierwsze starcie już 21 października! #Wrocław #Wybory2018 #wyborysamorzadowe2018 #PiS #DotrzymujemySłowa https://t.co/0fH2Z6nd6S",43,15
7,1050721267010154496,2018-10-12 12:14:06,RT @pisorgpl: ✅ 1 stycznia 2019 roku każdy właściciel domu lub mieszkania stanie się właścicielem związanego z nim gruntu.  #GruntToWłasnoś…,0,58
8,1050663518683332608,2018-10-12 08:24:37,RT @pisorgpl: Konkretny program #PiS dla Ochotniczej Straży Pożarnej. #DotrzymujemySłowa https://t.co/xmxRWGC5NB,0,90
9,1050033103895482371,2018-10-10 14:39:35,"RT @PopieramyPMM: Ten wykres to jest jednak bomba! 💣
147 miliardów zł więcej w porównaniu do poziomu z 2015 r.!
#DobraZmiana https://t.co/I…",0,66
10,1049628980784091136,2018-10-09 11:53:44,Zmiany Urzędzie Miejskim Wrocławia? Ależ tak - po prostu rozsądnie i gospodarnie! https://t.co/xObfWu5FuU,65,35
11,1049266097885794305,2018-10-08 11:51:46,RT @AnnaSiarkowska: Dziś w imieniu Partii Republikańskiej udzieliłam poparcia Pani Poseł @RozeckaPL w walce o urząd Prezydenta Miasta Wrocł…,0,23
12,1049234379313242112,2018-10-08 09:45:44,"Na #Wrocław.skim rynku odbywa się dzisiaj cykl dyskusji z kandydatami na Prezydenta Wrocławia. Dziękuję za rozmowę 🙂
#WyborySamorządowe #Wybory2018 #Rozecka2018 #PiS #DotrzymujemySłowa https://t.co/fWtomAmrJa",43,11
13,1048685254314283008,2018-10-06 21:23:42,"RT @pisorgpl: ‼️ Nasi konkurenci składają #PusteObietnice. My #DotrzymujemySłowa. 🇵🇱
Premier @MorawieckiM w #Lublin. https://t.co/HR8cq3gnak",0,61
14,1048671118134001664,2018-10-06 20:27:32,"RT @pisorgpl: 🇵🇱 Prawo i Sprawiedliwość to partia wiarygodna - realizujemy obietnice, #DotrzymujemySłowa. https://t.co/6ERFOzyuUg",0,62
15,1048580331589308418,2018-10-06 14:26:47,Jutro będę gościem programu #Woronicza17 @tvp_info. Zapraszam do oglądania. #DotrzymujemySłowa #wybory2018 #WyborySamorządowe #Wrocław #Rozecka2018 https://t.co/bVrk8X7t04,65,28
16,1048161288373903361,2018-10-05 10:41:39,RT @MRPiPS_GOV_PL: Coraz więcej uczniów wyjeżdża na wakacje - wynika z badania @CBOS_Info. #rodzina https://t.co/bG469M1e6z,0,6
17,1048161017329590272,2018-10-05 10:40:35,RT @MRPiPS_GOV_PL: 📊Rekordowo niskie bezrobocie we wrześniu 📊 #praca #rynekpracy https://t.co/PBOEV3fDJW,0,18
18,1047351054269075457,2018-10-03 05:02:04,Pomimo jesiennej pogody od rana #Mirabus w trasie. Dzisiaj testuje nowe połączenie Lipy Piotrowskiej z zachodnią częścią #Wrocław.ia. #WyborySamorządowe #wybory2018 #DotrzymujemySłowa #PiS #Rozecka2018 https://t.co/sjiTN8guqY,83,31
19,1047189018004344832,2018-10-02 18:18:12,Jutro o godz. 7:20 będę gościem @tvp_info. Zapraszam do oglądana. https://t.co/PubHibhJgL,84,32
20,1047170993205268480,2018-10-02 17:06:34,#Wrocław nie może wycofywać z odpowiedzialności za zdrowie mieszkańców 🏥. Przedstawiam część programu poświęconą zdrowiu wrocławian. #wybory2018 #WyborySamorządowe #Rozecka2018 #PiS #DotrzymujemySłowa #DobryProgram https://t.co/sKLT096RfN,39,23
21,1047149923194540033,2018-10-02 15:42:51,"Warto dla wrocławianek wesprzeć finansowo wysokospecjalistyczne procedury terapeutyczne, żeby wykorzystać w pełni możliwości i potencjał oddziału ginekologii onkologicznej. https://t.co/GzFWyQdr6d",57,26
22,1046997173903208449,2018-10-02 05:35:53,"Będziemy testować linie autobusowe zgłaszane przez mieszkańców wykorzystując #MIRABUS
3 X i 4 X testujemy połączenie z Lipy Piotrowskiej do ulicy Kwiskiej. Autobus będzie wyruszać z Lipy Piotrowskiej  (ul. Kminkowa) o równych godzinach 6.00, 7.00, 8.00 i 9.00. Zapraszamy! https://t.co/lMwLcvsEB6",36,20
23,1046756087838453760,2018-10-01 13:37:53,"Wiem, że brakuje połączeń autobusowych we Wrocławiu. Miasto lepsze do życia to miasto skomunikowane. Zatem testujemy linie autobusowe zgłaszane przez mieszkańców wykorzystując MIRABUS, na bieżąco będziemy informować gdzie kursuje #wyborysamorzadowe #rozecka2018 #wybory2018.",75,39
24,1045376474927321088,2018-09-27 18:15:48,Walka ze #smog.iem to bardzo ważny element mojego programu dla #Wrocław.ia. 🏭 #WyborySamorządowe 🚗 #wybory2018 ⛽ #PiS 🚛 #Rozecka2018 https://t.co/tQLMmLbgmP,58,21
25,1044933704488038401,2018-09-26 12:56:23,"Powiększenie obszarów lasów miejskich, parki kieszonkowe, zielone arterie – to tylko część naszych planów na zieleń miejską we #Wrocław.iu! 🌳🌱🌿#wybory2018 #wyborysamorzadowe #PiS #Rozecka2018 https://t.co/M1vzWNE5uJ",130,59
26,1044849975371419648,2018-09-26 07:23:41,"Zapraszam do oglądania Rozmowy Faktów z moim udziałem. Dziś w @FaktyTVP3
#Wrocław #wyborysamorzadowe #wybory2018 #PiS #DotrzymujemySłowa #Rozecka2018 https://t.co/LhHKjFPsXQ",61,24
27,1044546120544923649,2018-09-25 11:16:16,"W kampanii jesteśmy przyzwyczajeni do standardowych form komunikowania się z wyborcami. Jednak to, na czym mi zależy to wyrażenie uczuć łączących mnie z naszym miastem. Zapraszam do słuchania i oglądania 🎤🎶  #Wrocław #wyborysamorzadowe   #wybory2018 https://t.co/pXYn9UKPve",95,33
28,1044148380543471617,2018-09-24 08:55:47,Moje propozycje dla wrocławskiej kultury🎼🎭🎨🎬! https://t.co/DQya0l9vFl,137,63
29,1043783546345787392,2018-09-23 08:46:04,Już o 10:45 zapraszam do @tvn24 na #Kawanaławę. Będę gościem @KonradPiasecki. #Wroclaw #DotrzymujemySłowa #dobryprogram #wyborysamorzadowe #wybory2018,46,11
30,1043065221949022209,2018-09-21 09:11:42,Ruszamy w drogę po #Wrocław.iu. 🚌 Dzisiaj- Pracze Odrzańskie #wyborysamorządowe #wybory2018 #DotrzymujemySłowa #MiraBus https://t.co/og68q0ztiw,79,30
31,1042733524829265925,2018-09-20 11:13:40,"Czas, aby wrocławskie osiedla stały się w końcu OSIEDLAMI KOMPLETNYMI🏡🚋! #rozecka2018 #wybory2018 #wyborysamorządowe #Wrocław #dobryprogram https://t.co/eHUQxxvLig",201,87
32,1042039759219171328,2018-09-18 13:16:53,"Czas na wrocławski sport⚽️🏀🏐❕ A oto pomysły na rozwój sportu we Wrocławiu.
#rozecka2018
#wybory2018
#wyborysamorządowe https://t.co/tpuTUfbB7E",81,30
33,1041618273312354304,2018-09-17 09:22:03,"Kolejny punkt mojego programu dla Wrocławia a w nim min. szybka, sprawna i BEZPŁATNA komunikacja publiczna🚆🚈🚌! https://t.co/gfQZjvbk3N",195,80
34,1040981203820654592,2018-09-15 15:10:34,Wspólnie z Ministrem Inwestycji i Rozwoju Jerzym Kwiecińskim oraz Wojewodą Dolnośląskim Pawłem Hreniakiem zaprezentowaliśmy szczegóły rządowych programów: budowy dróg lokalnych i Dostępność Plus. https://t.co/e7VIlcvIGx,49,18
35,1040555025263734784,2018-09-14 10:57:05,"Odpowiedzialny włodarz miasta musi współpracować z różnymi środowiskami! Zapraszam do obejrzenia wywiadu!
https://t.co/8y4vmyFgWb",52,25
36,1040551333240221696,2018-09-14 10:42:25,Przedstawiam kolejny punkt mojego programu dla Wrocławia. Uczyńmy Odrę turystycznym magnesem miasta!⛵️🛶🏖️ https://t.co/zRhRRCj5SI,89,40
37,1039517382304182272,2018-09-11 14:13:51,"Dziś kolejny fragment programu SZYBKA KOLEJ MIEJSKA – tak długo się o niej mówi, że dorobiła się nawet strony w Wikipedii. Pora ją po prostu zbudować! Działajmy Szybciej! #Wrocław #wybory2018  https://t.co/ztE3bMABbS",46,26
38,1038865716307550215,2018-09-09 19:04:22,"Pora na odbudowanie wspólnoty, bo każdy jest ważny!
https://t.co/u3aKuY0AQ9",58,27
39,1037712529953378305,2018-09-06 14:42:01,"PROGRAM - DLA #WROCŁAW.IA - #EDUKACJA - to przyszłość nie tylko naszych dzieci, ale nas w wymiarze kulturowym, społecznym i ekonomicznym. EDUKACJA ma być PRAWDZIWIE EGALITARNA. Po pierwsze uczymy, jak się uczyć. #wybory2018 #wyborysamorządowe https://t.co/bhDh2nkgVp",105,39
40,1037306303067119616,2018-09-05 11:47:49,"Oto nasza drużyna gotowa Państwu służyć we wrocławskiej Radzie Miejskiej. Doświadczeni radni, działacze PiS, społecznicy, aktywiści i radni osiedlowi. Wspólnie dla wrocławian :) https://t.co/m9vWhrwdbr",204,75
41,1036981361859547136,2018-09-04 14:16:37,"Cieszę się, że dołączyła do nas doświadczona i zaangażowana w sprawy mieszkańców radna @UMrozowska. Witam w mojej drużynie. #Wrocław #WyborySamorządowe #wybory2018 https://t.co/qank2IpCqM",85,27
42,1036895293663531009,2018-09-04 08:34:37,"Dymisje konieczne❗️Sutryk i Delewski do tablicy - 1 września po wrocławsku 
https://t.co/UW1h4cCH12",59,22
43,1036286613813383169,2018-09-02 16:15:56,"21 października 2018 wybierzcie wiarygodność!
https://t.co/JEC76VVzDc",80,27
44,1033809278744842241,2018-08-26 20:11:53,"Obchody 38. rocznicy powstania NSZZ ""Solidarność"" https://t.co/kNfE3PkGd9",97,28
45,1033610789859540992,2018-08-26 07:03:10,RT @Wozny3: Termomodernizacyjna ulga podatkowa wpisana do wykazu prac Rady Ministrów. Kolejne działanie na rzecz #CzystePowietrze na ścieżc…,0,34
46,1032917333260595200,2018-08-24 09:07:37,"RT @pisorgpl: ❓❓ Pytania do opozycji. 
#DobryProgram #DobryWybór #VAT #Spot https://t.co/1yiGqCnIRS",0,400
47,1029775435389915137,2018-08-15 17:02:50,"To ważne, że są narody, dla których data 15 VIII 1920 r jest istotna i znana. Miło mi jest przekazać Państwu życzenia od mojego przyjaciela Asłambeka https://t.co/FrFDFrFUi5",97,32
48,1029404562896166912,2018-08-14 16:29:07,"Zaczynamy! Liczę, że spotkam   Państwa w ciągu tych 68 dni, że będziecie chcieli rozmawiać  o programie dla Wrocławia, który dla Was przygotowałam. Zapraszam :) Wybierzcie ZMIANĘ, która odmieni Waszą codzienność i sprosta oczekiwaniom a Wrocław będzie przestrzenią dobrą do życia!",192,87
49,1026152124286156800,2018-08-05 17:05:06,"RT @I_Lendorf: 5.08.1942 #Janusz_Korczak #Stefania_Wilczyńska i Ich wychowankowie, zostali wypędzeni z #Siennej na #Umschlagplatz, skąd tra…",0,40
50,1024727284404682752,2018-08-01 18:43:17,Obchody 74 rocznicy wybuchu Powstania Warszawskiego. Cześć i chwała bohaterom! #sierpień44 #pamiętamy #jesteśmyjeślipamiętasz #godzinaW https://t.co/ZSlixATod5,61,16
51,1022927029883334658,2018-07-27 19:29:43,RT @Wozny3: Absolutnie historyczny moment. Ustawa regulująca jakość paliw stałych uchwalona. Klienci składów węgla po raz pierwszy beda mie…,0,70
52,1022881661116182528,2018-07-27 16:29:26,"RT @AKlarenbach: Zapraszam na #Forum @tvp_info:
🔸@RozeckaPL (@pisorgpl)
🔸@APociej (@Platforma_org)
🔸@TRzymkowski (@Kukiz15)
🔸@P_Kobylinski…",0,27
53,1022556580393496576,2018-07-26 18:57:41,"Dziękuję wszystkim przybyłym na spotkanie. Jest sporo rzeczy do ulepszenia w dziedzinie organizacji pomocy zwierzętom. Po likwidacji ośrodka w Złotówku, warto podjąć kroki w kierunku utworzenia na terenie Wrocławia ośrodka dedykowanego dzikim zwierzętom.
#Wroclaw #zwierzęta https://t.co/TBZTtYLISx",57,24
54,1021397458797121538,2018-07-23 14:11:45,"Koalicja „jest świetnie we Wrocławiu, niczego nie zmieniajmy"" zajmuje się sobą i wewnętrznymi konkurami, a nie potrzebami wrocławian. Niestety przypomina to raczej wesołe miasteczko, a nie poważną dyskusję o mieście. Trwa karuzela kandydatów, a nie postulatów. #Wrocław",72,31
55,1021365824471339010,2018-07-23 12:06:03,"Uczestniczę w regionalnych konsultacjach dotyczących budowy systemu wsparcia osób niepełnosprawnych i ich rodzin. #Wroclaw wymaga podjęcia w tym kierunku pilnych działań, aby stać się miejscem bez barier, stwarzającym warunki samorealizacji i rozwoju bez względu na stan zdrowia. https://t.co/Oi6iAMCivl",52,25
56,1017809197306712064,2018-07-13 16:33:17,"RT @pisorgpl: Politycy #PiS dziś (13.07) w mediach:
17:00 @Radio_TOK_FM - @bwroblewski 
17:15 @PolskieRadio24 - @RozeckaPL 
19:45 @tvsupers…",0,8
57,1017805217511944192,2018-07-13 16:17:28,RT @AGozdyra: Dziś w #TakCzyNie @RozeckaPL @pisorgpl i @TomaszLenz @Platforma_org o #ZgromadzenieNarodowe czy politycy powinni razem święto…,0,5
58,1016734162907205632,2018-07-10 17:21:29,RT @Graffiti_PN: Jutro o 8:45 rozmowa @PiotrWitwicki z Mirosławą Stachowiak-Różecką @RozeckaPL kandydatką Prawa i Sprawiedliwości @pisorgpl…,0,5
59,1016298672395636736,2018-07-09 12:31:00,"Wspólnie z @PremierRP i @PawelHreniak złożyliśmy wieniec pod Pomnikiem Mauzoleum Pamięci Ofiar Zbrodni Ukraińskich Nacjonalistów we Wrocławiu #Pamiętamy #Wołyń43
Potem krótki spacer po Bulwarze Dunikowskiego :) https://t.co/6f02a2sb9p",40,14
60,1014430022751440896,2018-07-04 08:45:39,"RT @pisorgpl: Premier @MorawieckiM w #Strasburg: Europejska integracja to jedna z najlepszych idei nie tylko w historii Europy, ale i świat…",0,19
61,1014428869313613824,2018-07-04 08:41:04,"RT @PremierRP: Premier @MorawieckiM w #Strasburg: Jak każdy naród Europy, mamy wobec niej swoje oczekiwania – ale też mamy wiele do zaofero…",0,44
62,1014423921200902144,2018-07-04 08:21:24,"RT @PremierRP: Premier @MorawieckiM w #Strasburg: Europa powinna być silnym, suwerennym podmiotem w świecie globalnej gry interesów.",0,36
63,1014423880444841984,2018-07-04 08:21:14,RT @PremierRP: Premier @MorawieckiM w #Strasburg: Europejska suwerenność nie może oznaczać budowania #UE kosztem siły państw członkowskich.…,0,96
64,1014423830465597440,2018-07-04 08:21:02,RT @pisorgpl: Premier @MorawieckiM w #Strasburg: Unia bezpieczna to Unia zdająca sobie sprawę z geopolitycznych wyzwań i potrafiąca odpowie…,0,30
65,1013182447171919873,2018-06-30 22:08:14,"RT @A_Kilijanek: @RozeckaPL Było widać, że takie spotkania są potrzebne. Fajnie to dzisiaj wyszło. Sala wypełniona po brzegi i mnóstwo pyta…",0,2
66,1013161337126572032,2018-06-30 20:44:21,Owocne spotkanie z Ministrem Infrastruktury Andrzejem Adamczykiem. Rozpoczęcie prac projektowych i analiza przebudowy A4 oraz deklaracja wsparcia dla rozwoju kolei aglomeracyjnej we Wrocławiu to najważniejsze deklaracje dzisiejszego spotkania. #Wroclaw #PolskaJestJedna https://t.co/tmQ2lIVcbT,22,9
67,1013057908827975681,2018-06-30 13:53:21,RT @RozeckaPL: Trwa spotkanie z Ministrem Infrastruktury Andrzejem Adamczykiem we Wrocławiu. https://t.co/H2NbG6XTSu,0,13
68,1013054778253946881,2018-06-30 13:40:55,Trwa spotkanie z Ministrem Infrastruktury Andrzejem Adamczykiem we Wrocławiu. https://t.co/H2NbG6XTSu,32,13
69,1009907673545039872,2018-06-21 21:15:27,"RT @czaplinskiii: Węgrzy dla Polaków recytują J. Lechonia. Piękny gest!
🇵🇱🇭🇺💪🏻 https://t.co/zjjaXhVkcy",0,22
70,1009494559942946817,2018-06-20 17:53:53,A Jagodno? https://t.co/g3y0ipKmDL,4,0
71,1009474740715704320,2018-06-20 16:35:07,"Kilka słów po spotkaniu o #mpk - spółce tylko dla twardzieli. Czy wiecie, że kierowcy i motorniczy nie mają punktów socjalnych i toalet na pętlach? Szczególnie dotkliwie uderza to w kobiety, a ciągłe zwolnienia kierowców to zagrożenie dla bezpieczeństwa. MPK pracodawcą roku... https://t.co/rgW6XbGR2m",46,25
72,1009084079369801729,2018-06-19 14:42:47,"Pozoranctwo czy brak kompetencji #tramwajnaPopowice. W marcu najtańsza oferta to 238 mln - przetarg unieważniony, wczoraj już 301 mln. Jak myślicie władze #Wrocław chcą zbudować ten tramwaj? Pytam, bo wątpię https://t.co/qzREmiKFA8",12,7
73,1008798020111093760,2018-06-18 19:46:05,"Żłobki i przedszkola #skandalrekrutacyjny  #Wrocław. Krótki komentarz po spotkaniu z rozgoryczonym rodzicami :((
https://t.co/5xxkRKtio3",9,9
74,1008762186968240130,2018-06-18 17:23:41,Spotkanie z Prezydentem RP Andrzejem Dudą w Strzelinie🏨 https://t.co/80hi5dVhZz,19,8
75,1007326475295641600,2018-06-14 18:18:41,"Odwiedziłam zapomniane osiedle Zakrzów. Mieszkańcy pytali o: zadłużenie Wrocławia, konieczność audytu finansów miasta, rozbudowę domu opieki dla niepełnosprawnych, Obwodnicę Wschodnią Wrocławia i wiele innych kwestii, a także prezentowali rozwiązania istniejących problemów. https://t.co/wukbbHoGMG",23,14
76,1006900398697803777,2018-06-13 14:05:37,"Może ci panowie kobiet nie lubią i nie cenią jako liderek, albo się boją :-) https://t.co/ayN5GfIYAo",5,2
77,1005899368946380800,2018-06-10 19:47:52,"RT @GoscWroclawski: @PremierRP @MorawieckiM we Wrocławiu: Polska dla zapomnianych i najbiedniejszych.
https://t.co/BT9sDX1mZB https://t.co/…",0,2
78,1005439906112593922,2018-06-09 13:22:08,Podczas dzisiejszej wizyty Premiera Mateusza Morawieckiego we Wrocławiu mieliśmy okazję porozmawiać o rozwoju naszego miasta. Dziękuję za dobre spotkanie. https://t.co/Q6Qy1etACi,102,30
79,1005438154248245248,2018-06-09 13:15:10,RT @PawelHreniak: Wizyta Premiera Mateusza Morawieckiego we Wrocławiu @PremierRP @michaldworczyk @j_kopcinska @mareksuski @RozeckaPL @PCzar…,0,8
80,1004350923257327616,2018-06-06 13:14:54,@Mareksvemi @tvp_info @michalrachon @MagazynSledczy @pisorgpl @mhorala @BeataKempa_KPRM @JacekSwiat @PiotrBabiarz @r_czarnecki https://t.co/L68P6zlXvX,0,0
81,1003566529559121922,2018-06-04 09:18:00,Zapraszam na spotkanie:-) https://t.co/FcZOMZeSeh,30,16
82,1002575637066985473,2018-06-01 15:40:33,W #dziendziecka czytam bajki dzieciom w Parku Południowym:-) #Wroclaw https://t.co/ppPHNEmOrg,48,14
83,1002544461212213249,2018-06-01 13:36:40,W Dniu Dziecka odwiedziłam Zakład Opiekuńczo - Leczniczy w Jaszkotlu. #dziendziecka #Wrocław https://t.co/kkNmyva3V8,31,7
84,1002541430001360896,2018-06-01 13:24:37,W Dniu Dziecka odwiedziłam Zakład Opiekuńczo- Leczniczy w Jaszkotlu. https://t.co/98bCo9J2Nk,10,4
85,1001857333964824576,2018-05-30 16:06:16,Kaziu @kmujazdowski jak nie masz czasu głosować w PE to rzuć mandat - będziesz miał więcej czasu na kampanię we #Wrocławiu Link do głosowań w PE (strona 22 pozycja 10) https://t.co/6Jwj8F0Vmj,22,12
86,1001743659405103104,2018-05-30 08:34:34,W Dzień Dziecka 👶🧒👧 poczytam bajki dzieciom😊Spotkajmy się w Parku Południowym🌲🌳o godzinie 16.00! https://t.co/OxNSVOjYu7,16,7
87,1001004723288395776,2018-05-28 07:38:18,"RT @AkcjaMiasto: Prosimy o RT, jeśli uważacie, że warto upamiętnić #100latNiepodleglosci, jednocześnie ułatwiając życie mieszkańcom :) Zbud…",0,7
88,1000083840696770560,2018-05-25 18:39:02,"Lipa Piotrowska i sąsiednie osiedla potrzebują nowej szkoły.
→ Do najbliższej szkoły jest 6 km!
→ Dzieci muszą się uczyć w trybie zmianowym!  
→ W okolicach ulicy Kminkowej zamieszka 15 000 mieszkańców!
→ Planując tak wielkie inwestycje trzeba zadbać o infrastrukturę! https://t.co/KtzJjXIpUe",13,8
89,1000082409327616002,2018-05-25 18:33:21,"Szkoła na Lipie Piotrowskiej musi powstać szybko! To nie tylko moje zdanie ale również przedstawicieli 4 rad osiedli oraz ich mieszkańców. Dzisiaj spotkałam się z mieszkańcami i radnymi osiedlowymi w okolicach ulicy Kminkowej! 
#NaszeKarłowice #Wrocław #OSLipaPiotrowska https://t.co/RlcgP8aVaf",19,10
90,997028581070000128,2018-05-17 08:18:32,"RT @PawelHreniak: Rekordowa dotacja na zabytki Dolnego Śląska! 5,5 mln zł na dofinansowanie prac konserwatorskich, remontowych i robót budo…",0,12
91,996092981546496000,2018-05-14 18:20:47,IV Brzeskie Dni Kultury Żydowskiej. Było fantastycznie. Do zobaczenia za rok :) https://t.co/N8EGIQ242u,13,6
92,995307959910576130,2018-05-12 14:21:24,"RT @cezarygmyz: Artyści, którym @platforma  zabrała 50% kosztów uzysku na marszu wolności. Czy trzeba czegoś więcej by wytłumaczyć na czym…",0,243
93,993919422795603968,2018-05-08 18:23:51,"Miasto otwarte to takie, które szanuje inicjatywy oddolne. Niech mieszkańcy Maślic sami zdecydują. Wspieramy.
https://t.co/tdD17V4K45",18,11
94,993850895887687680,2018-05-08 13:51:33,"@BZdrojewski Szanowny Panie, bez manipulacji proszę. Ja odróżniam Ośrodek Pamięć i Przyszłość od Centrum Historii Zajezdnia a Pan nie? Oj. O dofinansowaniu dla Ośrodka w latach 2007 - 2015 mówiłam a nie o budowaniu Muzeum.",9,7
95,992298038818304001,2018-05-04 07:01:03,#matura2018 #wrocław #trzymamkciuki,10,2
96,991629293510938626,2018-05-02 10:43:41,#bociekbałoczerwony#bociekwłasny#bociekheleny https://t.co/wXfyh1dG8B,16,2
97,990625425272565766,2018-04-29 16:14:40,RT @mkrzyzanowski79: Minister Edukacji Anna Zalewska na spotkaniu w Lutyni: Uwolniliśmy pensje nauczycieli zawodu. Pracodawcy chcą wspierać…,0,7
98,990294980781596672,2018-04-28 18:21:36,RT @PiotrGlinski: Kolekcja była zagrożona. Nie była pokazywana i dobrze zaopiekowana. A.K. Czartoryski wielokrotnie zmieniał zarząd i statu…,0,16
99,989441442467794945,2018-04-26 09:49:57,"RT @pisorgpl: O godz. 13:00 zapraszamy na konferencję prasową Prezesa #PiS J. #Kaczyński, ul. Nowogrodzka 84/86, Warszawa. Transmisja na na…",0,73
100,988806317996376064,2018-04-24 15:46:12,"RT @pisorgpl: Politycy #PiS dziś (24.04) w mediach:
17:30 @RadiowaJedynka - @a_milczanowska 
17:45 @RadiowaTrojka - @r_czarnecki 
19:15 @Po…",0,9
101,988796792719532032,2018-04-24 15:08:20,"RT @AGozdyra: Dziś u mnie o tym, czy sejmowy protest powinien się zakończyć i czy rząd wie, jak pomóc niepełnosprawnym - @RozeckaPL @pisorg…",0,10
102,988785784265330688,2018-04-24 14:24:36,RT @tvp_info: Poruszona @E_Rafalska: chciałabym spełnić oczekiwania wszystkich osób niepełnosprawnych w Polsce tu i teraz. Nie udźwignę tyc…,0,296
103,988519453611692032,2018-04-23 20:46:18,"RT @pisorgpl: Politycy #PiS jutro (24.04) w mediach:
07:30 @PolskieRadio24 - @JoannaLichocka
08:02 @rmf_fm - @RozeckaPL
08:10 @tvp_info - @…",0,10
104,988500121431232517,2018-04-23 19:29:29,"RT @pikus_pol: Jeżeli przegapiłeś musisz wysłuchać❗️❗️
Jacek Świat:
- D.Tusk stworzył coś takiego jak filozofia NIEODPOWIEDZIALNOŚCI. Nikt…",0,394
105,985628096316485634,2018-04-15 21:17:04,#PolskaJestJedna #Trzebnica Było miło i rzeczowo @JoannaLichocka Dziękujemy za spotkanie :) https://t.co/Q8mH0hNApP,23,3
106,985264062966714368,2018-04-14 21:10:32,"RT @smok05: No to teraz aby przebić @pisorgpl będzie musiała @Platforma_org  dać Polakom po Apartamencie w Chorwacji, zegarku i cysternie l…",0,305
107,985258593267175425,2018-04-14 20:48:48,"A po emocjonującym pełnym konwencji dniu, odkrycie me z ostatnich dni, polecam! @baspiela #kukiełkowyŚwiatBasi",9,1
108,985169090355630080,2018-04-14 14:53:09,"RT @BeataSzydlo: Na #konwencjaPiS mówiłam o projektach #KomitetSpołecznyRM, które wprowadzi rząd:
 ✔️Bon dla młodzieży na sport i kulturę.…",0,250
109,985127663726624768,2018-04-14 12:08:32,"RT @WZubowski: Dziś dwie konwencje i tradycyjnie @pisorgpl o Polsce i Polakach, a @Platforma_org o PiS.",0,1
110,985122326336430080,2018-04-14 11:47:19,"RT @michalkarnowski: Piątka Morawieckiego. Oto 5 zmian, które zapowiedział szef rządu. W maksymalnym skrócie https://t.co/0Y4s6L3hPS",0,11
111,985120390245732352,2018-04-14 11:39:38,@BeataSzydlo Potrzebujemy Waszej mądrości! Musimy znowu się z Wami spotkać! #konwencjaPiS,1,0
112,985119959817818112,2018-04-14 11:37:55,"@BeataSzydlo Dzisiaj trzeba byśmy staneli i powiedzieli, że nie ma nic piękniejszego niż Polska! #konwencjaPiS",2,0
113,985118592990576642,2018-04-14 11:32:29,@BeataSzydlo Bon na zajęcia kulturalne i sportowe dla młodzeży #konwencjaPiS,5,1
114,985118134515437568,2018-04-14 11:30:40,RT @beatamk: #PiątkaMorawieckiego którą proszę podajcie dalej 😊 https://t.co/Ky63WWqqfw,0,178
115,985117468191490051,2018-04-14 11:28:01,@BeataSzydlo Dzieci i Rodzina to fundament Polski #konwencjaPiS,1,1
