id,created_at,text,fav_count,retweet_count
1051754396080586753,2018-10-15 08:39:23,b'#KoalicjaObywatelska Konferencja Koalicji Obywatelskiej we Wroc\xc5\x82awiu \xe2\x9c\x8c\xef\xb8\x8f \nhttps://t.co/jRBkgz4gqh\n#KoalicjaObywatelska\n#Wroclaw\n#Wsp\xc3\xb3lnaSprawaWroc\xc5\x82aw',4,2
1051731697446899712,2018-10-15 07:09:11,b'#rowerowyWroc\xc5\x82aw live:\nhttps://t.co/rxWDizssrB',7,2
1051722050996502529,2018-10-15 06:30:51,"b'Ostatnia prosta kampanii przed #wyborysamorzadowe. \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb Zacz\xc4\x99li\xc5\x9bmy j\xc4\x85 z mieszka\xc5\x84cami wroc\xc5\x82awskiego G\xc4\x85dowa, w towarzystwie kandydat\xc3\xb3w do Rady Miejskiej i Sejmiku Wojew\xc3\xb3dztwa oraz Przewodnicz\xc4\x85cej @KLubnauer \n\xc5\xbbyczymy dobrego dnia! \xf0\x9f\x99\x82\n#wsp\xc3\xb3lnasprawa #Wroc\xc5\x82aw \n#KoalicjaObywatelska https://t.co/00LMen4WXB'",35,18
1051529673526693889,2018-10-14 17:46:25,"b'Tomasz Lulek! Przyjacielu, dzi\xc4\x99kuj\xc4\x99 gor\xc4\x85co za Twoje wsparcie\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb. Do zobaczenia 21.10 przy urnie wyborczej \xf0\x9f\x98\x8a#wybory #wspolnasprawa #Wroc\xc5\x82aw #glosujeweWroclaw https://t.co/qtMhBaYXx2'",26,15
1051434498364203009,2018-10-14 11:28:13,"b'\xf0\x9f\x9a\xb4\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x8c\x9eRower, niedziela i #wybory\xe2\x9c\x96\xef\xb8\x8f udost\xc4\x99pniajcie \xf0\x9f\x94\x81 moi Drodzy i zach\xc4\x99cajmy do #glosujweWroclawiu\xf0\x9f\x92\xaa. Ju\xc5\xbc za tydzie\xc5\x84 zdecydujemy o przyszlosci Wroc\xc5\x82awia. B\xc4\x85d\xc5\xbamy razem, to jest nasze miasto i wsp\xc3\xb3lnie we\xc5\xbamy za nie odpowiedzialno\xc5\x9b\xc4\x87! #wspolnasprawa #Wroc\xc5\x82aw #JacekSutryk https://t.co/YXJmQDb03j'",75,33
1051410005302370304,2018-10-14 09:50:54,"b'\xf0\x9f\x93\xa3Krzysiek Bojda i Robert Drogo\xc5\x9b nasi liderzy wroc\xc5\x82awskiego #sektor3 m\xc3\xb3wi\xc4\x85 jednog\xc5\x82o\xc5\x9bnie - nie zmarnuj swojego g\xc5\x82osu! I maj\xc4\x85 ju\xc5\xbc swojego kandydata, kt\xc3\xb3rym jest ... #JacekSutryk :) #id\xc4\x99nawybory #wspolnasprawa #Wroc\xc5\x82aw #wybory #samorzad #prezydentwroc\xc5\x82awia #glosujwewroclawiu\xe2\x9d\x8e https://t.co/Fkbx1NxA7A'",20,5
1051141716332429318,2018-10-13 16:04:49,"b'Panie Prezydencie, Drogi Jacku! Bardzo dzi\xc4\x99kuj\xc4\x99 za mi\xc5\x82e s\xc5\x82owa - wierz\xc4\x99, \xc5\xbce si\xc4\x99 uda, bo tak jak Ty mocno kochasz Pozna\xc5\x84, ja kocham i dobrze \xc5\xbcycz\xc4\x99 Wroc\xc5\x82awiowi! Trzymam za nas kciuki \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb#JacekJa\xc5\x9bkowiak #Poznan #Wroclaw #wspolnasprawa #wybory2018 https://t.co/hiq16Krz63'",40,12
1051099409960919040,2018-10-13 13:16:42,"b'#Wroc\xc5\x82aw jest mi\xc4\x99dzy innymi stolic\xc4\x85 sport\xc3\xb3w walki. Od lat wspieramy \xc5\x9brodowisko #karate, a dzi\xc5\x9b mia\xc5\x82em przyjemno\xc5\x9b\xc4\x87 wr\xc4\x99czy\xc4\x87 90 nominacji dla wszystkich grup karatek\xc3\xb3w wybieraj\xc4\x85cych si\xc4\x99 na mistrzostwa \xc5\x9bwiata do Kanady. Gratuluj\xc4\x99 i trzymam kciuki! \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb\xf0\x9f\xa5\x8b https://t.co/HIuq9M4omo'",23,13
1051078151860903936,2018-10-13 11:52:14,"b'Dzi\xc4\x99kuj\xc4\x99 wroc\xc5\x82awskim ambasadorom sportu za poparcie! #Sport buduje i cementuje wi\xc4\x99zi spo\xc5\x82eczne, daje szanse, kszta\xc5\x82tuje charaktery. Jako prezydent Wroc\xc5\x82awia b\xc4\x99d\xc4\x99 inwestowa\xc5\x82 w sport dzieci, m\xc5\x82odzie\xc5\xbcy, seniorski i now\xc4\x85 infrastutur\xc4\x99 zgodnie z #ca\xc5\x82ywroc\xc5\x82awbli\xc5\xbcejdomu #wspolnasprawa https://t.co/n8V9LHORXN'",44,25
1051058400170319873,2018-10-13 10:33:44,b'Dla \xc5\x9brodowisk wroc\xc5\x82awskich sportowc\xc3\xb3w #Wroc\xc5\x82aw to nasza #wspolnasprawa \nLive \xe2\x9e\xa1\xef\xb8\x8f https://t.co/qW3272cKzX',19,3
1050848631127977987,2018-10-12 20:40:12,b'Gratulacje i pozdrowienia z #Wroc\xc5\x82aw! @trzaskowski_ \xf0\x9f\x92\xaa#DebataWarszawska\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb \nBo wa\xc5\xbcna jest dla nas #WarszawaDlaWszystkich \xe2\x9d\x8e#KoalicjaObywatelska \xe2\x9d\x8e#IdeNaWybory https://t.co/LGqBZOCFSS',170,35
1050823966665953280,2018-10-12 19:02:11,"b'Klub Aktywnych Kobiet i jeden aktywny m\xc4\x99\xc5\xbcczyzna, czyli ja w roli go\xc5\x9bcia \xf0\x9f\x98\x8a\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb Dzi\xc4\x99kuj\xc4\x99 za zaproszenie. Cudowna energia, fantastyczne rozmowy! Dzi\xc4\x99ki za wiele s\xc5\x82\xc3\xb3w wsparcia. #Wroc\xc5\x82aw to miasto kobiet. Wspania\xc5\x82ych kobiet! \xe2\x9d\xa4\xef\xb8\x8f #wspolnasprawa #wroclawmiastokobiet https://t.co/wnBj3XWf4n'",24,4
1050814411307438080,2018-10-12 18:24:13,b'#Wroc\xc5\x82aw trzyma kciuki!\xf0\x9f\x92\xaa@trzaskowski_  \xe2\x9d\x8e #DebataWarszawska #KoalicjaObywatelska #IdeNaWybory',93,24
1050802550365151233,2018-10-12 17:37:05,"b'25 lat Stowarzyszenia \xe2\x80\x9eOstoja\xe2\x80\x9d na Rzecz Os\xc3\xb3b z Niepe\xc5\x82nosprawno\xc5\x9bciami \xf0\x9f\x8e\x82Kochani dzi\xc4\x99kujemy Wam za kilkadziesi\xc4\x85t lat misji, pasji i dzia\xc5\x82a\xc5\x84. Za innowatorskie metody i zaanga\xc5\xbcowanie. \xc5\xbbyczymy Wam wszystkiego co najlepsze na kolejne 100 lat! \xf0\x9f\x98\x8a #Ostoja  #wspolnasprawa #Wroclaw https://t.co/n7C3pT82Xh'",25,12
1050736379607560192,2018-10-12 13:14:09,b'Dzi\xc5\x9b otwarcie odnowionego podw\xc3\xb3rka przy pl. \xc5\x9bw. Macieja 5 Powsta\xc5\x82a tu pi\xc4\x99kna spo\xc5\x82eczna przestrze\xc5\x84 dla wroc\xc5\x82awian i dla organizacji pozarz\xc4\x85dowych. \n#Wroclaw #miejscespotka\xc5\x84 #Hobbit #Tratwa #wsp\xc3\xb3\xc5\x82praca #Nadodrze https://t.co/2lLrhd6sOU',30,8
1050718390011260928,2018-10-12 12:02:40,b'#Aglomeracja tematem dzisiejszej wsp\xc3\xb3lnej konferencji z kandydatami #KoalicjaObywatelska do Sejmiku Wojew\xc3\xb3dztwa Dolno\xc5\x9bl\xc4\x85skiego. \n#transport #zdrowie #gospodarka\nLive: https://t.co/9hE4GJlioJ',28,13
1050364717389283328,2018-10-11 12:37:18,"b'@LWyszkowski, gratulujemy pomys\xc5\x82u i realizacji! \xf0\x9f\x90\x9dCiesz\xc4\x99 si\xc4\x99, \xc5\xbce nasze rozmowy, doprowadzi\xc5\x82y do ulokowania kolejnych dw\xc3\xb3ch 40 - tysi\xc4\x99cznych pszczelich rodzin! Cieszy mnie r\xc3\xb3wnie\xc5\xbc fakt, \xc5\xbce mog\xc5\x82y zamieszka\xc4\x87 w barokowym ogrodzie przy Pa\xc5\x82acu Kr\xc3\xb3lewskim przy pl. Wolno\xc5\x9bci. \xf0\x9f\x90\x9d\xf0\x9f\x98\x8a#Wroclaw https://t.co/HJ7ZN4vFdU'",6,4
1050323431462461441,2018-10-11 09:53:14,b'Konwent Dom\xc3\xb3w Kultury w @Klub_Firlej \xf0\x9f\x91\x8b \xc5\x9awietna okazja do wymienienia si\xc4\x99 do\xc5\x9bwiadczeniami i pomys\xc5\x82ami na rozw\xc3\xb3j instytucji kultury \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb\xf0\x9f\x8e\xad\xf0\x9f\x8e\xbc Je\xc5\xbceli kto\xc5\x9b jest w pobli\xc5\xbcu i ma woln\xc4\x85 chwil\xc4\x99 to zapraszamy - warto! :) https://t.co/8ftOxvvBCx',24,6
1050309474060263426,2018-10-11 08:57:47,"b'Bardzo serdecznie dzi\xc4\x99kuj\xc4\x99 Pani Profesor @AChybicka za poparcie, za mo\xc5\xbcliwo\xc5\x9b\xc4\x87 korzystania z bogatego do\xc5\x9bwiadczenia, wiedzy i autorytetu. #Wroc\xc5\x82aw nas \xc5\x82\xc4\x85czy, jest dla nas wsp\xc3\xb3ln\xc4\x85 warto\xc5\x9bci\xc4\x85, ju\xc5\xbc za kilka dni wroc\xc5\x82awianki i wroc\xc5\x82awianie zdecyduj\xc4\x85 o jego przysz\xc5\x82o\xc5\x9bci. #wspolnasprawa https://t.co/UA9tVAioB5'",95,32
1050288420650651649,2018-10-11 07:34:07,b'Pani Profesor @AChybicka g\xc5\x82osuje na: https://t.co/bpZy5ah622\n#JacekSutryk #KoalicjaObywatelska #wspolnasprawa #Wroc\xc5\x82aw #glosujweWroclawiu \xe2\x9d\x8e',21,4
1050274947677990913,2018-10-11 06:40:35,b'#Dzie\xc5\x84dobry z Przedmie\xc5\x9bcia \xc5\x9awidnickiego! Kontynuujemy poranne rozmowy z wroc\xc5\x82awiankami i wroc\xc5\x82awianami przy dobrej kawie \xf0\x9f\x98\x8a Dzi\xc4\x99kujemy i \xc5\xbcyczymy dobrego dnia! #wsp\xc3\xb3lnasprawa #Wroc\xc5\x82aw https://t.co/ZzZlOQxc5h',39,10
1050059529961046017,2018-10-10 16:24:35,"b'#Wroc\xc5\x82aw musi dba\xc4\x87 o lokalnych przedsi\xc4\x99biorc\xc3\xb3w. To oni na co dzie\xc5\x84, silnie zakorzenieni w mie\xc5\x9bcie, buduj\xc4\x85 je gospodarczo i spo\xc5\x82ecznie . B\xc4\x99d\xc4\x99 wspiera\xc5\x82 naszych kupc\xc3\xb3w, targowiska, hale i place targowe. Dzi\xc4\x99kuj\xc4\x99 za dzisiejsze spotkanie, a tak\xc5\xbce za zaufanie i poparcie! #wsp\xc3\xb3lnasprawa https://t.co/K0WFD9aUwa'",37,10
