id,created_at,text,fav_count,retweet_count
1052265115129704448,2018-10-16 18:28:48,"b'RT @IzabelaBob: @martalempart U nas problemem s\xc4\x85 panowie ,,bezpartyjni\xe2\x80\x9d co to po 20 lat s\xc4\x85 liderami swoich list i maj\xc4\x85 po 70 wiosen.\nNawet\xe2\x80\xa6'",0,1
1052263162878287872,2018-10-16 18:21:02,"b'@culturovo @GoTracz @KatarzynaObara @SutrykJacek @MichalakJerzy A jeszcze jakby za tym w ka\xc5\xbcdym przypadku sz\xc5\x82y  dzia\xc5\x82ania, to \xc5\xbcy\xc4\x87, nie umiera\xc4\x87 :)'",3,0
1052262927569309696,2018-10-16 18:20:06,b'@MarekLapinski R\xc3\xb3wnie\xc5\xbc mi\xc5\x82o mi by\xc5\x82o si\xc4\x99 dzi\xc5\x9b pozna\xc4\x87.',2,0
1052125341194567681,2018-10-16 09:13:23,"b'RT @MagKocejko: Z \xc5\xbcycia kandydatki do Rady Dzielnicy:\n-Dzie\xc5\x84 dobry, kandyduj\xc4\x99 do Rady Dzielnicy chcia\xc5\x82am si\xc4\x99 przedstawi\xc4\x87.\n-Wspaniale, to ja\xe2\x80\xa6'",0,1
1052125273712418816,2018-10-16 09:13:07,b'RT @strajkkobiet: #StrajkDoWybor\xc3\xb3w!\nKandydatka ze Z\xc5\x82otowa - Katarzyna J\xc3\xb3zefowska!\n\nKatarzyna startuje do rady miejskiej Z\xc5\x82otowa w okr\xc4\x99gu nr\xe2\x80\xa6',0,1
1052125151138074625,2018-10-16 09:12:38,b'RT @strajkkobiet: #StrajkDoWybor\xc3\xb3w\nKandydatka z Pi\xc5\x82y - Marta Miciak!\n\nMarta jako kandydatka bezpartyjna startuje z Koalicyjnego Komitetu Wy\xe2\x80\xa6',0,1
1052072204660338688,2018-10-16 05:42:14,"b'RT @Olszewski_Luk: Dok\xc5\x82adnie tak samo, jak jednog\xc5\x82o\xc5\x9bnie go kilka lat temu zatwierdza\xc5\x82 :) Kabaret! https://t.co/2XtYKd6cqB'",0,3
1052072090499764224,2018-10-16 05:41:47,"b'RT @Tulilam: Ale teraz, kiedy Andrzej Duda, 100% katolik, ok\xc5\x82ama\xc5\x82 Papie\xc5\xbca, \xc5\x82atwiej zrozumie\xc4\x87, dlaczego Andrzej Duda, doktor prawa, dopu\xc5\x9bci\xc5\x82\xe2\x80\xa6'",0,100
1052071435475259392,2018-10-16 05:39:11,"b'RT @JHarlukowicz: Id\xc4\x85c do rzadu, Beata Kempa najpierw zadba\xc5\x82a o kariery znajomych policjant\xc3\xb3w z Sycowa. Potem samorz\xc4\x85dowc\xc3\xb3w z Olesnicy. Ter\xe2\x80\xa6'",0,142
1051934458557997057,2018-10-15 20:34:53,"b'RT @RobertMaslak: Wreszcie we #Wroc\xc5\x82aw nie b\xc4\x99d\xc4\x99 wybiera\xc5\x82 mniejszego z\xc5\x82a.Zag\xc5\x82osuj\xc4\x99 na #Wroc\xc5\x82awDlaWszystkich, komitet @martalempart na prezyd\xe2\x80\xa6'",0,4
1051931929304596480,2018-10-15 20:24:50,"b'@BettyElaWhite @wrocwszystkich Mnie w\xc5\x82a\xc5\x9bnie gotuje coraz bardziej stanie ""symboliczne"", a nie wtedy, kiedy lec\xc4\x85 kamienie i race. Jakikolwiek b\xc4\x99dzie wynik wybor\xc3\xb3w, widzimy si\xc4\x99 11 listopada.'",2,2
1051928511873777670,2018-10-15 20:11:15,b'Zapomnia\xc5\x82am ca\xc5\x82kiem. https://t.co/GfvEQ2NZyL',2,3
