idx,emotion,text,val_ind,test_ind,train_ind
0,"joy","During the period of falling in love, each time that we met and especially when we had not met for a long time.",4352.0,1606.0,423.0
1,"fear",When I was involved in a traffic accident.,796.0,6645.0,1550.0
2,"anger","When I was driving home after  several days of hard work, there was a motorist ahead of me who was driving at 50 km/hour and refused, despite his low speeed to let me overtake.",2552.0,4403.0,1716.0
3,"sadness",When I lost the person who meant the most to me. ,3072.0,6715.0,1493.0
4,"disgust","The time I knocked a deer down - the sight of the animal's injuries and helplessness.  The realization that the animal was so badly hurt that it had to be put down, and when the animal screamed at the moment of death.",4581.0,2944.0,5622.0
5,"shame",When I did not speak the truth.,5925.0,2068.0,2497.0
6,"guilt",When I caused problems for somebody because he could not keep the appointed time and this led to various consequences.,6075.0,7009.0,1974.0
7,"joy",When I got a letter offering me the Summer job that I had applied for.  ,2881.0,5970.0,5921.0
8,"fear",When I was going home alone one night in Paris and a man came up behind me and asked me if I was not afraid to be out alone so late at night.,1696.0,6452.0,2986.0
9,"anger",When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.,5999.0,5387.0,4656.0
10,"sadness",When my friends did not ask me to go to a New Year's party with them.,2803.0,4819.0,4897.0
11,"disgust",When I saw all the very drunk kids (13-14 years old) in town on Walpurgis night.,1491.0,3032.0,3700.0
12,"shame",When I could not remember what to say about a presentation task at an accounts meeting.,5113.0,175.0,5713.0
13,"guilt",When my uncle and my neighbour came home under police escort.,3445.0,4459.0,1719.0
14,"joy", On days when I feel close to my partner and other friends.  When I feel at peace with myself and also experience a close contact with people whom I regard greatly.,7142.0,6867.0,800.0
15,"fear","Every time I imagine that someone I love or I could contact a serious illness, even death.",3528.0,6354.0,5992.0
16,"anger",When I had been obviously unjustly treated and had no possibility of elucidating this.,269.0,4539.0,1554.0
17,"sadness",When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time.,2812.0,5704.0,772.0
18,"disgust",At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating.,2624.0,1627.0,2294.0
19,"shame",When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings.,6891.0,276.0,916.0
20,"guilt",I feel guilty when when I realize that I consider material things more important than caring for my relatives.  I feel very self-centered.,3766.0,2816.0,521.0
21,"joy",After my girlfriend had taken her exam we went to her parent's place.,3832.0,182.0,4486.0
22,"fear","When, for the first time I realized the meaning of death.",1354.0,4529.0,1030.0
23,"anger",When a car is overtaking another and I am forced to drive off the road.,7081.0,4612.0,1528.0
24,"sadness","When I recently thought about the hard work it takes to study, and  how one wants to try something else.  When I read a theoretical book in English that I did not understand.",5906.0,1691.0,1388.0
25,"disgust",When I found a bristle in the liver paste tube.,1090.0,3786.0,7044.0
26,"shame","When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important.",7043.0,6228.0,293.0
27,"guilt",When I think that I do not study enough.  After the weekend I think that I should have been able to have accomplished something during that time.,1673.0,6291.0,5781.0
28,"joy",When I pass an examination which I did not think I did well.,6808.0,7462.0,5173.0
29,"fear","When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e.g a traffic accident.",5124.0,5527.0,6091.0
30,"anger",When one is unjustly accused of something one has not done.,2253.0,1836.0,7309.0
31,"sadness",When one's studies seem hopelessly difficult and uninteresting.  ,5141.0,6540.0,7091.0
32,"disgust","When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted.",7426.0,5053.0,1102.0
33,"shame","When one has been unjust, stupid towards someone else. ",6887.0,4475.0,7339.0
34,"guilt",When one has neglected or been unjust to a good friend.,2145.0,2855.0,7211.0
35,"joy",Passing an exam I did not expect to pass.,3646.0,7265.0,4769.0
36,"fear",When I climbed up a tree to pick apples.  The angle of the ladder I was on did not enable me to get high enough.  This implied that the ladder was not very stable.,5602.0,6031.0,854.0
37,"anger",Friends who torture animals.,5473.0,1750.0,2042.0
38,"sadness", Same as in anger.,6507.0,6784.0,972.0
39,"disgust",Friends who torture animals.,5998.0,1268.0,6570.0
40,"shame", Same as above - friends who torture animals.,5898.0,1045.0,4865.0
41,"guilt", When excuses are necessary and I get out of doing it myself.,672.0,5252.0,5850.0
42,"joy",When I had my children.,801.0,5863.0,4050.0
43,"fear",When my 2 year old son climbed up and sat on the 7th floor balcony with his legs hanging out.  He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down.,1660.0,4794.0,233.0
44,"anger",When my partner was attacked and lost three teeth.,7343.0,2920.0,3218.0
45,"sadness",When I see children on T.V from areas devastated by drought and war.,3887.0,1775.0,3182.0
46,"disgust",When I nearly walked on a blindworm and then saw it crawl away.,4232.0,6156.0,7447.0
47,"shame",When I saw my 18 year old son grab an oxygen mask as he had breathing difficulties.  I had a bad conscience because I had not stopped smoking.  Medication for the dilation of his breathing tubes also caused a sense of guilt in me.,1213.0,3550.0,922.0
48,"guilt","I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing.",337.0,321.0,6020.0
49,"joy",When my child was born.,3522.0,6049.0,946.0
50,"fear","It was winter/spring and the ice was melting.  I was far out on a jetty and I poked the ice with a long branch to try and break it.  The branch went through the ice and I fell in, the water closed in over my head.",7440.0,5591.0,3839.0
51,"anger","Unjust accusations directed at me and my way of acting, by someone close to me.  ",422.0,3791.0,5125.0
52,"sadness",Failing an examination.,1412.0,4795.0,7382.0
53,"disgust","A drunkard fell, started bleeding and wet himself.  Disgust that turned into sadness-unpleasantness.",4861.0,3397.0,1664.0
54,"shame","When, as an adult I have been caught lying or behaving badly.",1304.0,2988.0,3158.0
55,"guilt","When I am in an environment or with a person much worse off than me, I realize how privileged I am.",3852.0,3240.0,4785.0
56,"joy",When I saw a person I had not seen for a long time.,5821.0,7010.0,493.0
57,"fear","When, as a child, I was nearly knocked down by a car.",4180.0,3011.0,6516.0
